platform,server,uid,rid,dataUnix,status
IOS_YY,3,0|1735,0|1735|0|03|0,1571415369,LOGOUT
ADR,4,0|1410_206,0|1410_206|0|04|1,1571415519,LOGIN
IOS_YY,13,1|1120_51,1|1120_51|1|13|1,1571416119,LOGOUT
H5,1,0|272,0|272|0|01|1,1571416509,LOGIN
H5,1,0|1384,0|1384|0|01|0,1571416689,LOGIN
IOS_YY,21,2|1649,2|1649|2|21|0,1571417439,LOGIN
H5,24,2|486,2|486|2|24|0,1571417529,LOGOUT
ADR,14,1|1381,1|1381|1|14|0,1571419599,LOGOUT
ADR,4,0|388,0|388|0|04|0,1571419719,LOGIN
H5,2,0|1051,0|1051|0|02|1,1571419749,LOGIN
ADR,20,2|730,2|730|2|20|0,1571420529,LOGIN
H5,12,1|246,1|246|1|12|1,1571643489,LOGIN
IOS_YY,20,2|2614,2|2614|2|20|0,1571643699,LOGOUT
IOS,12,1|436,1|436|1|12|0,1571644449,LOGIN
ADR,0,0|2945,0|2945|0|00|0,1571644569,LOGOUT
IOS_YY,5,0|2641,0|2641|0|05|0,1571644929,LOGOUT
ADR,10,1|20_34,1|20_34|1|10|1,1571645139,LOGOUT
H5,2,0|320_150,0|320_150|0|02|0,1571645499,LOGIN
IOS,11,1|717,1|717|1|11|0,1571645589,LOGIN
IOS,12,1|14,1|14|1|12|1,1571646009,LOGOUT
ADR,21,2|1350,2|1350|2|21|0,1571646189,LOGOUT
IOS,25,2|1401,2|1401|2|25|1,1571646609,LOGIN
H5,20,2|72_75,2|72_75|2|20|1,1571646909,LOGIN
IOS_YY,15,1|228,1|228|1|15|0,1571647179,LOGOUT
H5,25,2|403,2|403|2|25|0,1571647419,LOGOUT
IOS,24,2|1694,2|1694|2|24|1,1571647629,LOGIN
IOS,24,2|1694,2|1694|2|24|1,1571647629,LOGIN
H5,21,2|2863,2|2863|2|21|0,1571647989,LOGOUT
IOS,2,0|2454,0|2454|0|02|1,1571648169,LOGOUT
H5,13,1|721,1|721|1|13|1,1571648349,LOGOUT
ADR,23,2|221,2|221|2|23|1,1571648409,LOGOUT
IOS_YY,4,0|876,0|876|0|04|0,1571648439,LOGOUT
