platform,server,uid,rid,dataUnix,payWay,orderId,money
IOS,25,2|264,2|264|2|25|0,1571414469,fling,c4adeb8f-2625-41d6-a500-bec4f1a2b5f3,328
ADR,3,0|230,0|230|0|03|1,1571414889,fling,3226071e-c60e-4c18-a75c-314a755b3012,50
ADR,1,0|2576,0|2576|0|01|1,1571414979,fling,c87129c1-ad75-400a-a610-f3a6d4991add,648
H5,22,2|621,2|621|2|22|1,1571415219,fling,555b131f-d2d1-4d76-b050-65710e4821d2,328
IOS_YY,4,0|914_216,0|914_216|0|04|1,1571415399,fling,7a450a3b-fee1-4ca7-bef1-a8cec6084c54,328
ADR,13,1|63,1|63|1|13|0,1571415579,fling,7b2174ca-3556-4c77-844f-89950a69a186,198
IOS_YY,5,0|1639,0|1639|0|05|0,1571415759,fling,06e2d882-f170-497b-9c1f-152964f78d84,648
IOS_YY,12,1|2153,1|2153|1|12|0,1571415969,fling,e23495c5-3f18-4fa8-8ca5-a86ddec16ae3,198
IOS,20,2|2724,2|2724|2|20|0,1571416539,fling,68d9b611-bf2a-4cfe-9c13-aa4c01d5bd24,648
H5,21,2|2734,2|2734|2|21|0,1571416989,fling,096d338f-da77-4574-a22e-30ef67dceff8,198
IOS_YY,3,0|2296,0|2296|0|03|1,1571417559,fling,d3ad5a54-0d3c-4569-a78b-d03476d9593e,198
IOS_YY,12,1|995,1|995|1|12|0,1571417769,fling,4e5c8944-4237-41d4-90ec-c28dd54864b0,328
ADR,3,0|903,0|903|0|03|1,1571418009,fling,642a3259-fb87-4fbc-82c1-72049884e8ca,198
ADR,23,2|161,2|161|2|23|1,1571418909,fling,d3138bf3-24a3-43e7-b031-baaa941e1f82,328
IOS_YY,3,0|927,0|927|0|03|1,1571419089,fling,6811d7ed-bbd4-4df6-8297-693afff371a5,328
H5,4,0|2952,0|2952|0|04|0,1571419389,fling,a227a35e-7169-4481-8067-ae67a8c3ba76,198
IOS_YY,11,1|1488,1|1488|1|11|0,1571419419,fling,8c96aa27-46d1-4c57-aa3f-3b7c8945c078,198
ADR,12,1|1253,1|1253|1|12|0,1571419869,fling,c079463c-45c2-4983-a207-c30cdbc27730,648
ADR,10,1|198,1|198|1|10|1,1571420109,fling,675bc023-a57d-4da1-8415-b9b99ee86ce6,648
H5,23,2|2414,2|2414|2|23|0,1571420139,fling,ad38d1af-5dcb-42a8-b78f-7a0d977b0bb6,198
ADR,15,1|730,1|730|1|15|1,1571420529,fling,7d009e2b-aded-4431-9777-ecabbcf41e3d,30
H5,24,2|399_41,2|399_41|2|24|0,1571421219,fling,052ef994-2892-499d-a257-2175ce7baa75,98
IOS,1,0|1086,0|1086|0|01|1,1571421519,fling,0f34f259-a4f1-4bd3-a7ea-4505c9347e2a,198
H5,12,1|1078,1|1078|1|12|0,1571422089,fling,4b9a1ec3-4b30-4f0e-98fd-e3b2d30fe039,198
IOS_YY,12,1|114,1|114|1|12|1,1571422119,fling,8dfe975f-e9e5-484e-8c05-9e196760c544,198
IOS_YY,12,1|2955,1|2955|1|12|0,1571422599,fling,8d0c7f5a-fb45-441e-ba3b-4a22fa52b602,198
IOS,4,0|1594,0|1594|0|04|0,1571422869,fling,29da2a10-0e42-4468-8146-b09d9566032b,648
H5,15,1|1383,1|1383|1|15|1,1571423439,fling,55e51ac7-b9c3-4010-9efe-49f5c369f918,198
IOS_YY,2,0|2648,0|2648|0|02|1,1571423469,fling,8d8b7e51-ac72-444a-b914-778f5c792463,328
ADR,22,2|2851,2|2851|2|22|0,1571423919,fling,621d9f71-2b65-4124-a488-d42ee988b87a,648
IOS_YY,20,2|222_147,2|222_147|2|20|0,1571424039,fling,257ddcee-48e5-4f49-9388-1f4bf782d5f8,648
ADR,10,1|1427,1|1427|1|10|1,1571424279,fling,4f7bfbc7-4888-4aa0-bb30-8e29b94d9536,648
ADR,23,2|1094,2|1094|2|23|0,1571424339,fling,fe81deb9-e200-4372-8448-6b3603644055,648
IOS_YY,5,0|128_98,0|128_98|0|05|1,1571424369,fling,81d9a3a8-5527-4c1c-9e22-f6bdfcc5d94e,98
IOS_YY,14,1|2628,1|2628|1|14|0,1571424609,fling,44514c37-1738-49f1-a7e7-43421ff9e784,328
IOS,5,0|1379,0|1379|0|05|1,1571425539,fling,64054bf5-bbd1-4187-9fc4-ffb33617a703,98
ADR,5,0|2725,0|2725|0|05|1,1571426049,fling,9838b228-a573-4b21-866d-60b121a4cd35,328
IOS,0,0|1796,0|1796|0|00|1,1571427249,fling,9fb2fc3c-bea8-444a-8314-0c33d1ce6b21,648
IOS,11,1|2978,1|2978|1|11|1,1571427369,fling,c2f13bb7-45be-486f-82ab-fdbda6e93d71,98
IOS,1,0|413,0|413|0|01|0,1571427729,fling,9e879920-0bc7-4790-953e-edb5da6ca85a,328
H5,1,0|1275_120,0|1275_120|0|01|1,1571427999,fling,39d9b36f-02cb-4f7c-9ce2-8ffedc09fa9b,50
H5,21,2|2507,2|2507|2|21|1,1571428929,fling,102367eb-32ac-4edc-a783-89ea0fec502e,98
IOS,0,0|173,0|173|0|00|0,1571429439,fling,7245f3f9-230f-43c1-9998-d76f06b828ee,648
IOS_YY,20,2|1862,2|1862|2|20|1,1571429919,fling,e7501444-b15a-4a91-831a-8fd498b4f58f,648
IOS,25,2|2069,2|2069|2|25|1,1571429949,fling,8be28b1b-092c-4d09-a13e-5c3120f65167,98
IOS_YY,20,2|802,2|802|2|20|1,1571430429,fling,388f2f82-60d7-4186-a5d9-b5ff9f4245cc,50
ADR,5,0|2894,0|2894|0|05|0,1571430609,fling,1d3338f7-3df8-4412-8e62-86ec4260c676,328
IOS_YY,4,0|2615,0|2615|0|04|1,1571430639,fling,7b529e42-ac23-48c5-b255-5b6f1a26dbcf,328
ADR,3,0|426,0|426|0|03|1,1571430759,fling,33b78771-caa5-42e5-a152-fc51be1a25ea,328
IOS,0,0|1686,0|1686|0|00|0,1571430999,fling,38e9c98d-3db6-4a27-b699-e4094d30bc4b,198
ADR,1,0|306,0|306|0|01|1,1571431479,fling,ecec5ced-b350-4224-929e-b44dbf4a1522,30
ADR,10,1|986,1|986|1|10|0,1571431779,fling,30d2506c-3d5f-481a-bfbb-a99662df4b67,98
ADR,24,2|2686,2|2686|2|24|1,1571432049,fling,c942a236-f95f-41f9-a4bd-1f6f76d4df0f,328
IOS,13,1|1585,1|1585|1|13|1,1571432469,fling,8d25079c-674b-48ab-b57a-d616bed59a33,198
ADR,20,2|2914,2|2914|2|20|1,1571432979,fling,a63cacda-35af-4162-8735-6a46d2a2e224,328
IOS,21,2|1137,2|1137|2|21|0,1571433069,fling,f78227aa-0b9a-445d-810e-cf177d4c05e6,198
IOS,0,0|2849,0|2849|0|00|1,1571433219,fling,236ca4a2-ad14-4efb-9dc6-ac881007963d,648
ADR,20,2|1666,2|1666|2|20|0,1571433309,fling,c7932454-d937-402e-b7bc-b7b7aaa10f94,328
