platform,server,uid,rid,dataUnix,num,totalMoney
H5,12,1|309,1|309|1|12|0,1571414409,5,445
ADR,11,1|2483,1|2483|1|11|1,1571414679,6,126
H5,14,1|2982,1|2982|1|14|0,1571414739,3,108
IOS_YY,25,2|879,2|879|2|25|1,1571415459,7,483
ADR,12,1|2765,1|2765|1|12|0,1571415849,0,0
ADR,1,0|2789,0|2789|0|01|1,1571416389,7,490
H5,15,1|282,1|282|1|15|0,1571416629,7,630
ADR,12,1|2109,1|2109|1|12|1,1571416719,0,0
ADR,15,1|2443,1|2443|1|15|1,1571416869,3,12
ADR,12,1|1472,1|1472|1|12|1,1571417199,0,0
ADR,15,1|1668,1|1668|1|15|0,1571418309,3,276
IOS_YY,21,2|166,2|166|2|21|0,1571418339,4,388
H5,22,2|1583,2|1583|2|22|0,1571418489,6,120
IOS_YY,23,2|2382,2|2382|2|23|1,1571418849,4,12
ADR,21,2|161,2|161|2|21|1,1571418909,3,258
ADR,0,0|34,0|34|0|00|0,1571419239,4,76
IOS,0,0|321,0|321|0|00|1,1571419449,8,352
IOS,5,0|494,0|494|0|05|0,1571419539,5,130
H5,25,2|1183,2|1183|2|25|1,1571420589,2,124
ADR,4,0|2371,0|2371|0|04|0,1571420949,1,99
ADR,2,0|643,0|643|0|02|0,1571421369,3,180
H5,15,1|2710,1|2710|1|15|0,1571421579,1,60
IOS_YY,14,1|283,1|283|1|14|1,1571421669,6,12
ADR,4,0|2526,0|2526|0|04|0,1571421759,1,77
IOS_YY,0,0|1499,0|1499|0|00|0,1571421969,7,196
IOS,24,2|1078,2|1078|2|24|0,1571422089,7,217
IOS_YY,0,0|874_190,0|874_190|0|00|1,1571422389,3,24
ADR,3,0|2950,0|2950|0|03|1,1571423409,9,846
IOS_YY,0,0|1548,0|1548|0|00|1,1571423769,0,0
IOS,23,2|506,2|506|2|23|0,1571423889,8,680
IOS_YY,20,2|2851,2|2851|2|20|0,1571423919,6,264
H5,14,1|2127,1|2127|1|14|1,1571424219,4,380
ADR,0,0|744,0|744|0|00|0,1571424639,3,81
H5,0,0|2177,0|2177|0|00|0,1571424669,4,108
ADR,11,1|2125,1|2125|1|11|1,1571424849,1,3
IOS,11,1|147,1|147|1|11|0,1571425149,1,80
ADR,15,1|662,1|662|1|15|0,1571425209,7,504
IOS_YY,21,2|2729,2|2729|2|21|0,1571425329,9,27
IOS_YY,2,0|1803,0|1803|0|02|0,1571425809,9,27
IOS,20,2|1604,2|1604|2|20|1,1571425929,0,0
IOS,2,0|2715,0|2715|0|02|0,1571426409,3,21
IOS,21,2|984,2|984|2|21|1,1571426979,0,0
IOS_YY,13,1|2158,1|2158|1|13|1,1571427339,1,0
ADR,2,0|1275_120,0|1275_120|0|02|1,1571427999,7,469
IOS,20,2|523,2|523|2|20|0,1571428149,4,136
H5,0,0|1897,0|1897|0|00|1,1571428509,9,684
ADR,13,1|871,1|871|1|13|0,1571429349,9,810
IOS,20,2|713,2|713|2|20|0,1571429889,5,345
ADR,2,0|1610,0|1610|0|02|0,1571430129,2,124
ADR,15,1|1452,1|1452|1|15|1,1571430309,9,621
H5,3,0|1409_204,0|1409_204|0|03|0,1571430489,8,504
IOS,23,2|2661,2|2661|2|23|1,1571430819,7,182
