platform,server,uid,dataUnix,status
H5,21,2|2527,1571414499,LOGOUT
IOS,24,2|2946,1571414709,LOGIN
H5,5,0|1082,1571414769,LOGOUT
IOS,21,2|2892,1571414799,LOGOUT
H5,11,1|492,1571414949,LOGIN
IOS,22,2|1835,1571415039,LOGIN
H5,15,1|2516,1571415249,LOGOUT
IOS,15,1|1887_25,1571415399,LOGOUT
H5,0,0|489,1571415459,LOGOUT
IOS,25,2|2134,1571415639,LOGOUT
IOS,2,0|312,1571415819,LOGOUT
IOS,1,0|1230,1571416029,LOGOUT
IOS,24,2|905_226,1571416059,LOGIN
IOS_YY,20,2|923,1571416239,LOGIN
IOS_YY,4,0|1256,1571416269,LOGIN
H5,3,0|1169,1571416539,LOGOUT
IOS,1,0|1113,1571416899,LOGIN
ADR,10,1|678_228,1571416929,LOGIN
ADR,21,2|2566,1571417079,LOGOUT
IOS,24,2|932,1571417139,LOGOUT
IOS,5,0|470,1571417229,LOGIN
H5,1,0|470,1571417229,LOGOUT
H5,12,1|2825,1571417559,LOGOUT
ADR,0,0|1576,1571417949,LOGOUT
ADR,14,1|2432,1571418069,LOGIN
IOS_YY,15,1|2338,1571418129,LOGIN
ADR,1,0|1885,1571418369,LOGOUT
IOS_YY,1,0|222,1571418489,LOGIN
IOS,1,0|2946,1571419119,LOGIN
H5,10,1|2946,1571419119,LOGOUT
IOS_YY,14,1|977,1571419629,LOGIN
ADR,22,2|1367,1571419779,LOGOUT
IOS,25,2|2215,1571419809,LOGOUT
ADR,1,0|2711,1571419899,LOGIN
IOS_YY,21,2|2023,1571420259,LOGOUT
IOS,25,2|615_85,1571420289,LOGOUT
IOS_YY,1,0|615_85,1571420289,LOGIN
H5,1,0|1017,1571420619,LOGIN
H5,2,0|2426,1571420769,LOGOUT
IOS_YY,4,0|954,1571420859,LOGIN
IOS_YY,21,2|1708,1571420919,LOGOUT
H5,4,0|2053,1571420949,LOGIN
IOS_YY,14,1|1609,1571421189,LOGOUT
H5,25,2|2216,1571421249,LOGIN
IOS,15,1|2277,1571421549,LOGOUT
IOS,1,0|1973,1571422089,LOGIN
IOS_YY,14,1|2354,1571422149,LOGIN
IOS_YY,15,1|2632,1571422179,LOGOUT
ADR,3,0|399,1571422389,LOGOUT
H5,10,1|2495,1571422449,LOGIN
IOS,0,0|1911,1571422659,LOGIN
IOS,2,0|1696_269,1571422779,LOGOUT
IOS,0,0|2815,1571423079,LOGOUT
